id;duracion_horas;direccion;email;lunes;martes;miercoles;jueves;viernes;sabado;domingo;horas_mes;bono_alimenticio;apoyo_economico;auxilio_transporte;capacitacion;otro_apoyo;nombre_empresa;nit_empresa;direccion_empresa;sector_economico_empresa;representante_legal_empresa;asesor_empresa;cargo_asesor_empresa;email_asesor_empresa;municipio_empresa;telefono_contacto_empresa;email_empresa;departamento_empresa;identificacion_representante_legal;profesion_asesor_empresa;celular_asesor_empresa;proyecto_id
1;63793;Refined Rubber Ball synthesizing;Coy.Schmitt62@hotmail.com;true;false;true;true;true;true;true;25691;false;false;true;false;Incredible value-added national;killer context-sensitive;mobile Colorado;COM Fantastic Texas;Forward;Open-source Congolese Franc Car;Quetzal;Turnpike;paradigms Infrastructure Investment Account;Fresh grid-enabled transparent;systems invoice;Street Aruban Guilder generate;Architect firewall seamless;Bypass Union;Squares open-source Berkshire;Integration invoice;56236
2;87711;Shoes copy;Vito60@gmail.com;false;true;false;false;true;false;false;91739;true;false;false;true;full-range deposit Avon;Metical Configuration quantifying;applications Research Cambridgeshire;HTTP Awesome Rubber Chair;Rustic;Kuwaiti Dinar partnerships;synthesizing hacking;interfaces;Devolved;River Burundi Franc Mills;Toys;withdrawal;copy monitoring Maine;communities Internal;pixel;Credit Card Account;98524
3;26998;Cambridgeshire web-readiness;Sydnee.Ferry@gmail.com;false;false;true;false;false;true;true;25842;true;true;true;true;Handcrafted Rubber Keyboard;Optimization Concrete Baby;Antigua and Barbuda;Phased Licensed program;Phased Yemeni Rial;Incredible;Health invoice;markets;Response;grey Future calculate;structure modular Mission;HTTP;Plastic Future disintermediate;bottom-line Home;Fort SMS;Assistant Clothing Intelligent Fresh Chips;9781
4;15420;Dong;Olaf.Dicki@gmail.com;false;true;true;false;false;true;false;83467;true;true;true;true;transmitter;Investor;PCI schemas;Fresh Ergonomic Wooden Mouse Checking Account;Refined Steel Mouse;Health National Ergonomic Concrete Car;Credit Card Account;Baby wireless Specialist;Personal Loan Account Investment Account;hack compress transparent;Virginia deliver Technician;capacitor;integrated;Chicken;overriding Factors Rubber;EXE firewall;57986
5;98045;Mississippi array;Eloisa87@gmail.com;true;false;false;true;true;false;false;1149;true;false;true;false;lavender Palestinian Territory;primary incremental parsing;Pennsylvania;applications sensor Refined Metal Soap;Executive Skyway Fantastic Rubber Towels;Fresh bypassing;Ford;Pennsylvania;Future Frozen;programming;Clothing Tuna;brand Bike microchip;5th generation reboot;SSL Buckinghamshire;Table Wallis and Futuna Paradigm;Crest invoice;9995
6;54476;Strategist Polarised;Felipe.Cummerata@yahoo.com;false;true;false;false;false;false;false;34587;true;true;false;false;withdrawal Lock;Tunisian Dinar cross-platform Handmade;Corporate Tasty Plastic Shoes;strategic Specialist;Realigned 1080p Gloves;Adaptive Savings Account COM;Refined Legacy;deploy;Rustic Ergonomic;scale Skyway;Checking Account synergize;Buckinghamshire intranet Chicken;Personal Loan Account;relationships payment;Focused infrastructures withdrawal;mobile;49744
7;28594;protocol seamless;Shyann.Schimmel38@gmail.com;false;false;false;false;false;false;false;12948;false;false;false;false;access;Hungary Gorgeous Granite;District;payment;HDD;engage;bypassing Cotton;value-added;Consultant Sausages;object-oriented bypass Money Market Account;Bolivar Fuerte Frozen;microchip;AGP Mission Isle of Man;compressing plug-and-play Sausages;Tactics;driver customer loyalty;2681
8;43929;Cotton;Wilfredo36@yahoo.com;false;false;true;false;false;false;false;50263;false;true;true;true;THX matrix;Kuwait PNG payment;Berkshire plum;Specialist quantify;Gorgeous Granite Shoes;Group navigating invoice;redefine EXE District;deposit Bedfordshire;compress actuating;Lead Advanced withdrawal;Steel;lime Focused Paradigm;South Dakota mint green foreground;withdrawal Baby;generating;Administrator;76802
9;84943;initiatives;Deja_Huel41@yahoo.com;false;false;false;true;true;true;false;5422;true;true;true;false;driver Future Planner;navigating matrices;Mountains;cross-media;Soft;invoice Home;withdrawal Product;calculating;visualize Personal Loan Account;Product;Rial Omani;e-markets synthesizing;TCP pink;Profound Senior;Practical Tools Borders;Orchard Chicken;74211
10;55831;interfaces Technician;Jaleel_Roob@gmail.com;false;true;false;false;false;true;true;64694;true;true;false;false;Grocery;matrices;Sleek Concrete Pants hacking Station;copying;Architect Falls Borders;copying International;Tennessee Open-source Down-sized;redefine Borders reinvent;applications;Grocery out-of-the-box;parsing next generation;Montserrat Designer;Response exploit Fantastic Fresh Pants;generate morph Motorway;Argentina Metal indexing;Gorgeous;63412
